"District","Contractor"
"Rupandehi","Shree Tapeshwari/Shreeram/Sainamaina JV"
"Rupandehi","Shyam sundar/ NB JV"
"Rupandehi","Siddhartha Darshan Builders Pvt. Ltd"
"Rupandehi","Sunrise- Mahalaxmi J.V."
"Rupandehi","Yadav Nirman Sewa"
"Rupandehi","inter tech pvt, ltd."
"Salyan","Hamal-Shaubhagya-Golden J.V."
"Salyan","Jay Bishnu Builders Pvt.Ltd"
"Salyan","Kot Darbar Nirman Sewa"
"Sankhuwasabha","Rubina Nirman Sewa Pvt Ltd"
"Saptari","Joshi Nirman Sewa Pvt. Ltd.,"
"Sarlahi","Bibek Nirman Sewa,"
"Sarlahi","Prisa Nirman sewa pvt.Ltd."
"Sindhuli","dilli ratna group of company pvt ltd"
"Sindhupalchowk","Dipraj Construction and Suppliers"
"Sindhupalchowk","Gehendra Laxmi Nirman Sewa"
"Sindhupalchowk","J. B. Construction"
"Sindhupalchowk","J.B. CONSTRUCTION"
"Sindhupalchowk","M/S L.B Multipurpose Company Pvt.Ltd. Melamchi 11 Sindhupalchok"
"Sindhupalchowk","Shantidevi/Salin j.v"
"Sindhupalchowk","gautam shakti nirman sewa"
"Siraha","M/S C.A.B. – Nati –Balaji JV"
"Solukhumbu","Bashu Construction & Suppliers"
"Solukhumbu","Bhumesthan Nirman Sewa"
"Sunsari","Ashish-Swaminarayan-Aashirbad J.V"
"Sunsari","Dipalil-Tinjure JV"
"Sunsari","Madi R.K.D. Construction COmpany Pvt.Ltd."
"Sunsari","S.M.COnstruction"
"Sunsari","Shear Engineering and Builders Pvt. Ltd."
"Sunwal","New Jagatradevi Nirman Sewa"
"Surkhet","Babita-Bidari JV"
"Surkhet","Bajra Guru/ Nepal Mega/Birendra Amar Nirman Sewa JV"
"Surkhet","Hamro Nirman Sewa"
"Surkhet","Khampache-Majadoor JV"
"Surkhet","Majdur Construction Pvt.Ltd."
"Surkhet","Mrit Sanjiwani-K.S.K. JV"
"Surkhet","Nagarjun-Majadoor JV"
"Surkhet","Naya Nepal Nirman Sewa"
"Surkhet","Prem Construction"
"Surkhet","Surya Construction Firm"
"Surkhet","Thapa trades & suppliers/Indra Construction"
"Surkhet","iDream Solution"
"Syangja","Jay Nepal Ishwor Nirman Sewa Pvt Ltd"
"Syangja","Jaya Nepal Ishwor Nirman Sewa"
"Syangja","Jaya Nepal Ishwor Nirman Sewa Pvt. Ltd."
"Syangja","Shree Geeta Construciton"
"Syangja","Shree Geeta Construction"
"Tanahu","A.B. Nirman Sewa"
"Tanahu","Aananta Nirman Sewa"
"Tanahu","B.Rana Gemeral Construction Pvt.Ltd"
"Tanahu","Bijendra Construction and Suppliers"
"Tanahu","Chhimkeshwori Redimix And Precast Concrete Company"
"Tanahu","Shree Geeta-Rubina-Mana JV"
"Taplejung","B Build Nirman Sewa"
"Taplejung","SAS/POMU/ANGBUHANG J.V"
"Taplejung","Yakthumhang -S.A.S-Thewe J.v."
"Udayapur","Aabishka constructions"
"Udayapur","Aashirbad Nirman Sewa"
"Udayapur","Arun and Rustam Nirman Sewa Pvt. Ltd"
"Udayapur","Baba Bishshwakarma Nirman Sewa"
"Udayapur","Dhiraj Nirman Sewa"
"Udayapur","Durga Bishnu Construction"
"Udayapur","Gadhimai Riya Constration"
"Udayapur","Gadhimai Riya constrations"
"Udayapur","Gadimai Riya Constructions"
"Udayapur","Gauri Ganesh Nirman Sewa"
"Udayapur","Gita NIrman Sewa"
"Udayapur","Gita Nirman Sewa"
"Udayapur","Gita Nirman sewa"
"Udayapur","Joya & Brothers Pabitra Jv"
"Udayapur","K.N.S. Dahal Nirman Sewa"
"Udayapur","Kankai Nirman Sewa"
"Udayapur","Kankai/Bkoi/Churiya J.V"
"Udayapur","M/S Susam Aditya Bajay Nirman Sewa"
"Udayapur","Mahesh Medicine Distributors"
"Udayapur","Munna Construction"
"Udayapur","Munna/Amod J.V., Katahariya, Rautahat"
"Udayapur","Nabita And Lopchan Construction Pvt. Ltd."
"Udayapur","Naman Constructions"
"Udayapur","Pawan Sappiers jay ma durga Nirman sewa"
"Udayapur","Pawan Suppyurs Jay Ma Durga Nirman Sewa"
"Udayapur","RD/Bhanumati J.V."
"Udayapur","Rajdevi Bhakt Constructions pvt.ltd."
"Udayapur","Rautaha-Aashirbad-Regmi JV"
"Udayapur","Rautaha-Anshubi-Ansuman JV"
"Udayapur","Sahu Constructions,"
"Udayapur","Samagra construction and Suppliers pvt. ltd."
"Udayapur","Shiv Nirman Swa Shiv General Supplers"
"Udayapur","Siddhi Ganesh Nirman Sewa"
"Udayapur","Sunehari Drilling and Construction Pvt.Ltd,Chandrapur-4,Rautahat."
"Udayapur","shivshankar/Sharda J.V."
"Ward","Gyan Bahadur Tamang"
"Ward","M/S Rukumini Builders Pvt. Ltd,"
